scenario,label,k,batch_size,latency_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
PARD long ISL=10000 OSL=1000,baseline,0,4,12.64372681407258,79.0906047485138,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_baseline_v0202_standalone_baseline_breakdown_k0_20260604_185902/breakdown.json
PARD long ISL=10000 OSL=1000,baseline,0,8,12.822070638649166,155.98104677192018,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_baseline_v0202_standalone_baseline_breakdown_k0_20260604_185902/breakdown.json
PARD long ISL=10000 OSL=1000,baseline,0,16,13.813057844992727,289.5810648798529,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_baseline_v0202_standalone_baseline_breakdown_k0_20260604_185902/breakdown.json
PARD long ISL=10000 OSL=1000,baseline,0,32,17.79993827175349,449.43976084990726,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_baseline_v0202_standalone_baseline_breakdown_k0_20260604_185902/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=5,5,1,29.79703451367095,8.390096668354678,0.39572468614605727,24.587973273942094,2.2293986636971046,1.2293986636971046,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k5_v0202_standalone_specdec_breakdown_k5_20260604_185907/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=5,5,2,35.10299894679338,14.243797253843306,0.3482456525743844,16.832412523020256,1.8416206261510129,0.8416206261510129,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k5_v0202_standalone_specdec_breakdown_k5_20260604_185907/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=5,5,4,31.424996764864773,31.821801207568182,0.40234616120021705,21.0456176319836,2.05228088159918,1.05228088159918,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k5_v0202_standalone_specdec_breakdown_k5_20260604_185907/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=5,5,8,29.941784380935133,66.79628623848691,0.4282333502746542,23.826754385964914,2.1913377192982457,1.1913377192982457,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k5_v0202_standalone_specdec_breakdown_k5_20260604_185907/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=5,5,16,41.10942873824388,97.30127911699297,0.3360070492087017,13.944155430512794,1.6972077715256395,0.6972077715256396,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k5_v0202_standalone_specdec_breakdown_k5_20260604_185907/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=5,5,32,45.35206629196182,176.3976959395545,0.3924835123754514,13.675672828777586,1.6837836414388794,0.6837836414388793,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k5_v0202_standalone_specdec_breakdown_k5_20260604_185907/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=12,12,1,34.57251669000834,7.231177360954213,0.34106345906873087,7.184978274363749,1.86219739292365,0.8621973929236499,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k12_v0202_standalone_specdec_breakdown_k12_20260604_185912/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=12,12,2,25.17491236497881,19.861042324642106,0.48558130405052075,13.415159345391903,2.6098191214470283,1.6098191214470283,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k12_v0202_standalone_specdec_breakdown_k12_20260604_185912/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=12,12,4,25.67187667597318,38.953131967010414,0.4925127591433973,13.415159345391903,2.6098191214470283,1.6098191214470283,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k12_v0202_standalone_specdec_breakdown_k12_20260604_185912/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=12,12,8,26.57071979501052,75.27082500698992,0.48256391763451245,13.415159345391903,2.6098191214470283,1.6098191214470283,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k12_v0202_standalone_specdec_breakdown_k12_20260604_185912/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=12,12,16,29.636840810999274,134.96715204933244,0.46607726960783946,13.415159345391903,2.6098191214470283,1.6098191214470283,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k12_v0202_standalone_specdec_breakdown_k12_20260604_185912/breakdown.json
PARD long ISL=10000 OSL=1000,PARD K=12,12,32,32.179563331010286,248.60498937506364,0.5531441831157581,13.415159345391903,2.6098191214470283,1.6098191214470283,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_k12_v0202_standalone_specdec_breakdown_k12_20260604_185912/breakdown.json
PARD short ISL=1000 OSL=512,baseline,0,1,3.678570761810988,34.79612281183484,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_baseline_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,baseline,0,2,3.892580868676305,65.76613528058938,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_baseline_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,baseline,0,4,4.029326853808016,127.06837111417796,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_baseline_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
