model,benchmark,target_model,drafter,job_id,k,batch_size,isl,osl,tp,gpus_allocated,latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124817,1,8,1000,512,1,4,4.465930652004317,917.1660554473026,917.1660554473026,1.6116869845946444,95.23355576739753,1.9523355576739752,0.9523355576739753,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k1_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124817,1,16,1000,512,1,4,4.983031398995081,1643.9792054394973,1643.9792054394973,1.546727598300153,79.33757402939241,1.793375740293924,0.7933757402939241,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k1_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124817,1,32,1000,512,1,4,5.290020773987635,3097.1522986382693,3097.1522986382693,1.6252279577524527,79.90978105402135,1.7990978105402133,0.7990978105402134,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k1_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3125465,2,1,1000,512,1,4,3.0704361350508407,166.75155498439386,166.75155498439386,2.188480495364223,93.29608938547486,2.865921787709497,1.8659217877094971,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k2_bs1-32_cuda_graph_qwen3_32b_k2_20260602_223227/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3125465,2,2,1000,512,1,4,4.564526322064921,224.33872164346687,224.33872164346687,1.49518440498273,82.64248704663213,2.6528497409326426,1.6528497409326426,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k2_bs1-32_cuda_graph_qwen3_32b_k2_20260602_223227/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3125465,2,4,1000,512,1,4,3.6276444980176166,564.5536659171431,564.5536659171431,1.915484776633935,73.49397590361446,2.4698795180722892,1.4698795180722892,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k2_bs1-32_cuda_graph_qwen3_32b_k2_20260602_223227/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3125465,2,8,1000,512,1,4,3.7759344739606604,1084.764586951006,1084.764586951006,1.9061989437512208,71.79334916864607,2.4358669833729216,1.4358669833729216,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k2_bs1-32_cuda_graph_qwen3_32b_k2_20260602_223227/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3125465,2,16,1000,512,1,4,3.7722124939318746,2171.6698126571514,2171.6698126571514,2.0432020201460865,72.22222222222221,2.4444444444444446,1.4444444444444444,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k2_bs1-32_cuda_graph_qwen3_32b_k2_20260602_223227/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3125465,2,32,1000,512,1,4,4.208161068963818,3893.3870950985856,3893.3870950985856,2.0430514702453975,72.91040288634997,2.458208057726999,1.4582080577269994,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k2_bs1-32_cuda_graph_qwen3_32b_k2_20260602_223227/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124818,3,1,1000,512,1,4,2.4490971320774406,209.05663286849602,209.05663286849602,2.7437007319184596,89.20863309352518,3.676258992805755,2.676258992805755,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k3_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124818,3,2,1000,512,1,4,3.078706833999604,332.60718061605854,332.60718061605854,2.216777673507294,64.84149855907782,2.945244956772334,1.9452449567723342,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k3_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124818,3,4,1000,512,1,4,3.0957935659680516,661.5428181367101,661.5428181367101,2.244561099738492,64.55938697318008,2.9367816091954024,1.9367816091954022,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k3_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124818,3,8,1000,512,1,4,3.3215858129551634,1233.145922054578,1233.145922054578,2.166941548782076,62.95774647887325,2.888732394366197,1.888732394366197,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k3_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124818,3,16,1000,512,1,4,3.3750608559930697,2427.2154931528207,2427.2154931528207,2.2836305823451912,64.38388908808415,2.931516672642524,1.9315166726425241,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k3_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124818,3,32,1000,512,1,4,3.7579866170417517,4359.781358906838,4359.781358906838,2.287791451940781,67.05882352941175,3.011764705882353,2.011764705882353,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k3_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
