source_group,source_file,domain,temperature,model,method,batch_size,isl,osl,tp,total_gpus,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,label,dataset,job_id,tok_s_per_gpu,acceptance_pct,mean_accept_len
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,baseline,4,4096,32768,,4,151.75195922772195,1.0,,,qwen8_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365988,151.75195922772195,,
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,eagle3_k3,4,4096,32768,,4,193.02895057133713,1.272003020940732,68.35012916889706,3.050503875066912,qwen8_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,MATH-500,3365992,193.02895057133713,68.35012916889706,3.050503875066912
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,pard2_k5,4,4096,32768,,4,61.20146567756982,0.4032993444633536,0.1200435963956219,1.0060021798197811,qwen8_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365991,61.20146567756982,0.1200435963956219,1.0060021798197811
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,pard_k5,4,4096,32768,,4,154.49789192137277,1.0180948747391805,46.60230188775121,3.3301150943875606,qwen8_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365990,154.49789192137277,46.60230188775121,3.3301150943875606
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,suffix_k32,4,4096,32768,,4,663.4990165705483,4.372259969144047,89.6030158485921,9.045454545454543,qwen8_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365989,663.4990165705483,89.6030158485921,9.045454545454543
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,baseline,8,4096,32768,,4,304.79555292379337,1.0,,,qwen8_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365994,304.79555292379337,,
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,eagle3_k3,8,4096,32768,,4,401.9532540580283,1.3187635127948432,72.2736538477033,3.168209615431099,qwen8_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260617_qmath_osl32k_bsweep,MATH-500,3366003,401.9532540580283,72.2736538477033,3.168209615431099
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,pard2_k5,8,4096,32768,,4,120.30498225887656,0.3947071441982483,0.152371287775702,1.0076185643887852,qwen8_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260617_qmath_osl32k_bsweep,MATH-500,3366002,120.30498225887656,0.152371287775702,1.0076185643887852
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,pard_k5,8,4096,32768,,4,320.4972628760494,1.0515155480506038,51.95602646098103,3.5978013230490515,qwen8_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260617_qmath_osl32k_bsweep,MATH-500,3366000,320.4972628760494,51.95602646098103,3.5978013230490515
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-8B,suffix_k32,8,4096,32768,,4,1476.469995865678,4.844132342819427,87.6248662819605,8.920937042459737,qwen8_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365999,1476.469995865678,87.6248662819605,8.920937042459737
