domain,run_group,model,method,job_id,steps,completed_steps,max_steps,step_span,max_new_tokens,min_tokens,gen_tok_s_per_gpu,e2e_tok_s_per_gpu,generation_time_s,total_step_time_s,gen_speedup_vs_baseline,e2e_speedup_vs_baseline,acceptance_pct,mean_accept_len,draft_training_steps,draft_refit_steps,state,source_group,source_file,generation_time_speedup_vs_baseline,total_step_time_speedup_vs_baseline
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-30B-A3B,PARD K=5,2152135,19,19,20.0,last 20,4096.0,,1477.9763157894736,970.5078947368422,280.9078947368421,427.46578947368425,0.9852694903652068,0.9844324324324326,36.58622551089964,2.288923010113093,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.9913120052461475,0.9865313937095612
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-30B-A3B,PARD-2,2152222,0,0,20.0,,4096.0,,,,,,,,,,,,FAILED; waiting metrics,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-30B-A3B,Suffix,2152134,19,19,20.0,last 20,4096.0,,1731.0784210526317,999.6747368421052,239.9936842105263,415.24368421052634,1.1539959980899177,1.014017751084418,11.28937986656041,1.8382095038943376,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,1.1603112362606034,1.0155685374345818
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-30B-A3B,baseline,2152132,19,19,20.0,last 20,4096.0,,1500.0731578947368,985.8552631578948,278.46736842105264,421.7084210526316,1.0,1.0,,,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,1.0,1.0
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-30B-A3B,baseline fuse_loss=false,2152320,19,19,20.0,last 20,4096.0,,1395.0678947368422,924.4684210526316,299.29894736842107,449.70842105263154,0.9299999052677782,0.9377323990657326,,,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.9303987563921303,0.9377374345482337
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,Eagle-3,2152195,19,19,20.0,last 20,4096.0,,2150.331052631579,1045.7410526315791,192.64263157894737,395.2015789473684,1.693697678602668,1.332298022113014,45.150963225327686,2.329656620248645,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,1.7224667437114265,1.3565175932868372
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,PARD K=5,2152143,19,19,20.0,last 20,4096.0,,1138.1789473684212,748.9636842105263,370.55947368421056,562.2284210526316,0.8964810505029737,0.9541968660378356,31.779866316811095,2.0042378398981495,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.8954582189377939,0.9535232917132389
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,PARD-2,2152224,16,16,20.0,last 18,4096.0,,688.0756250000001,515.56125,601.698125,802.660625,0.5419593821794886,0.656836825832356,1.0164130580207642,1.048664302429012,,,TIMEOUT; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.5514734258408891,0.6679010755471432
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,PARD-2,2152532,19,19,20.0,last 20,4096.0,,623.9194736842105,479.5631578947369,677.1678947368422,873.437894736842,0.4914271051058471,0.6109744330430573,1.0044261989874397,1.0479029095512342,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.49001219475229263,0.613779065423264
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,Suffix,2152142,16,16,20.0,last 18,4096.0,,732.98375,537.5275,580.001875,788.580625,0.5773310459843781,0.6848223308047332,7.870073769302167,1.5625467715878278,,,TIMEOUT; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.5721025062475694,0.6798263585753734
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,Suffix,2152499,19,19,20.0,last 20,4096.0,,1070.777894736842,695.3505263157895,386.0573684210526,592.4557894736841,0.8433929428658838,0.8858924764926016,16.93444627518644,1.939819888175273,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,0.8595109262463038,0.9048740923151274
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,baseline,2152140,19,19,20.0,last 20,4096.0,,1269.6073684210526,784.9152631578947,331.8205263157895,536.0978947368421,1.0,1.0,,,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,1.0,1.0
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-32B,baseline fuse_loss=false,2152343,19,19,20.0,last 20,4096.0,,1272.8657894736843,774.1194736842106,331.1589473684211,544.0821052631578,1.002566479317684,0.9862459172595902,,,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,1.0019977686021342,0.9853253572409739
NeMo-RL PerfCfg,Lyris perfcfg sync OSL8192,Qwen3-235B-A22B,baseline,2152151,0,0,20.0,,8192.0,,,,,,,,,,,,FAILED; waiting metrics,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,
NeMo-RL PerfCfg,Lyris perfcfg sync OSL8192,Qwen3-235B-A22B,baseline,2152615,0,0,3.0,,8192.0,,,,,,,,,,,,FAILED; waiting metrics,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,
NeMo-RL PerfCfg,Lyris perfcfg sync OSL8192,Qwen3-235B-A22B,baseline,2152682,0,0,3.0,,8192.0,,,,,,,,,,,,CANCELLED by 2001147693; waiting metrics,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,
SWE-RL,qwen235B step>=2,Qwen3-235B-A22B,baseline,3299487,8,8,8.0,,,,213.05625,103.7525,,1243.29125,1.0,1.0,,,0.0,0.0,complete,swerl_qwen235b_20260615,docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv,,1.0
SWE-RL,qwen235B step>=2,Qwen3-235B-A22B,eagle3_k3,3299491,7,7,7.0,,,,103.47142857142856,50.07857142857143,,1389.8342857142857,0.4856531013355795,0.48267339513333585,,,0.0,0.0,complete,swerl_qwen235b_20260615,docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv,,0.8945607852529182
SWE-RL,qwen235B step>=2,Qwen3-235B-A22B,pard_k5,3299489,5,5,5.0,,,,57.07000000000001,27.382,,1952.394,0.26786353369122007,0.26391653213175587,,,0.0,0.0,complete,swerl_qwen235b_20260615,docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv,,0.6368034577037217
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,baseline,3344823,1,1,1.0,,,,559.5,190.8,,141.04,1.0,1.0,,,0.0,0.0,complete,swerl_qwen30_ctx40k_20260616,docs/oci_hsg_swerl_qwen30ba3b_baseline_ctx40k_3344823_summary_20260616.csv,,1.0
