domain,dataset,model,source,batch_size,method,measurement,tok_s_per_gpu,baseline_tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_acceptance_length,job_id,state,final_rows,note
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K9,final_breakdown_no_baseline,10.231563087679145,,,21.980862935191496,2.978277664167235,,,1,verified_osl32k_qwen235b_eagle3_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K11,final_breakdown_no_baseline,7.623999028251447,,,12.488022680351268,2.3736824948386395,,,1,verified_osl32k_qwen235b_eagle3_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,Suffix K8,final_breakdown_no_baseline,33.74751667145881,,,84.78083332024563,5.753654455794294,,,1,verified_osl32k_qwen235b_suffix_k8
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,Suffix K16,final_breakdown_no_baseline,48.98712395333806,,,86.20053731615135,7.620985135529001,,,1,verified_osl32k_qwen235b_suffix_k16
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,Suffix K32,final_spec_vs_live_baseline,48.65576378814184,8.25,5.897668337956587,86.20053731615135,7.620985135529001,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,PARD K5,live_only,6.75,8.25,0.8181818181818182,10.6,1.53,2109528,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,PARD K9,final_breakdown_no_baseline,9.801426306098987,,,10.517387616624257,1.9465648854961832,,,1,verified_osl32k_qwen235b_pard_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,PARD K11,final_breakdown_no_baseline,9.114295607187248,,,9.952330516169996,2.0947563567786993,,,1,verified_osl32k_qwen235b_pard_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,PARD-2 K1,live_only,8.025,8.25,0.9727272727272728,17.8,1.18,2109530,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,PARD-2 K9,final_breakdown_no_baseline,7.080491164032667,,,1.4990624245345556,1.13491561820811,,,1,verified_osl32k_qwen235b_pard2_k9
