source,job_id,model,method,shape,batch_size,output_tok_s_per_gpu,speedup_vs_final_baseline,acceptance_pct,mean_acceptance_length,latest_generation_tok_s,matching_live_baseline_tok_s,provisional_live_speedup,live_acceptance_pct,live_mean_acceptance_length,label
live_log,2102311,Qwen/Qwen3-30B-A3B,suffix K32,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,233.8,39.5,5.918987341772152,93.3,11.73,full_osl16k_qwen30_suffix_k32
live_log,2102312,Qwen/Qwen3-30B-A3B,PARD K5,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,40.4,39.5,1.0227848101265822,40.3,3.01,full_osl16k_qwen30_pard_k5
live_log,2100972,Qwen/Qwen3-30B-A3B,baseline,n4 ISL4096/OSL32768 BS1 2,,,,,,39.8,39.8,1.0,,,qwen30_baseline
live_log,2100976,Qwen/Qwen3-30B-A3B,suffix K32,n4 ISL4096/OSL32768 BS1 2,,,,,,151.7,39.3,3.8600508905852418,89.2,11.59,qwen30_suffix_k32
live_log,2100980,Qwen/Qwen3-30B-A3B,PARD K5,n4 ISL4096/OSL32768 BS1 2,,,,,,11.6,39.3,0.29516539440203565,8.6,1.43,qwen30_pard_k5
live_log,2102338,Qwen/Qwen3-8B,baseline,n1 ISL4096/OSL131072 BS1,1,,,,,35.0,35.0,1.0,,,full_osl128k_qwen8_baseline
live_log,2102305,Qwen/Qwen3-8B,baseline,n1 ISL4096/OSL131072 BS1,1,,,,,36.4,36.4,1.0,,,verified_osl128k_qwen8_baseline
live_log,2102585,Qwen/Qwen3-8B,baseline,n1 ISL4096/OSL131072 BS1,1,,,,,37.9,37.9,1.0,,,verified_osl128k_qwen8_baseline
live_log,2102797,Qwen/Qwen3-8B,baseline,n1 ISL4096/OSL131072 BS1,1,,,,,,37.9,,,,verified_osl128k_qwen8_baseline
live_log,2102987,Qwen/Qwen3-8B,baseline,n1 ISL4096/OSL131072 BS1,1,,,,,,37.9,,,,verified_osl128k_qwen8_baseline
live_log,2102341,Qwen/Qwen3-8B,suffix K32,n1 ISL4096/OSL131072 BS1,1,,,,,177.4,37.9,4.680738786279684,100.0,13.0,full_osl128k_qwen8_suffix_k32
live_log,2102306,Qwen/Qwen3-8B,suffix K32,n1 ISL4096/OSL131072 BS1,1,,,,,176.5,37.9,4.6569920844327175,99.1,12.49,verified_osl128k_qwen8_suffix_k32
live_log,2102675,Qwen/Qwen3-8B,suffix K4,n1 ISL4096/OSL131072 BS1,1,,,,,67.5,37.9,1.7810026385224276,100.0,5.0,verified_osl128k_qwen8_suffix_k4
live_log,2102541,Qwen/Qwen3-8B,suffix K8,n1 ISL4096/OSL131072 BS1,1,,,,,122.2,37.9,3.224274406332454,100.0,9.0,verified_osl128k_qwen8_suffix_k8
