model,bench,variant,k,sample_method,tp,tag,step,num_sequences,wall_s,output_tok_s,len_p50,len_p90,len_max,total_tokens,mean_acceptance_length
Qwen3-32B,math500,fixed_k3,3,greedy,2,qwen3_32b_math500_rollout_fixed_k3_20260712c,3,256,55.95926493400475,13059.446024922976,2801,4096,4096,730797,2.9154030932277784
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_rollout_baseline_20260712,0,256,79.53101221499674,12682.650099728036,4096,4096,4096,1008664,
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_rollout_baseline_20260712,1,256,64.88171864399919,11439.246917492756,2910,4096,4096,742198,
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_rollout_baseline_20260712,2,256,69.5993008699952,11225.946097640073,4096,4096,4096,781318,
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_rollout_baseline_20260712,3,256,62.89331131899962,10581.156979072304,4096,4096,4096,665484,
Qwen3-32B,openmath,dynamic,5,greedy,2,qwen3_32b_openmath_rollout_dynamic_20260712,0,256,79.45576982200146,12725.469808739064,4096,4096,4096,1011112,1.7923542217715345
Qwen3-32B,openmath,dynamic,5,greedy,2,qwen3_32b_openmath_rollout_dynamic_20260712,1,256,56.249814162030816,13246.674875291685,2881,4096,4096,745123,1.9391899630381593
Qwen3-32B,openmath,dynamic,5,greedy,2,qwen3_32b_openmath_rollout_dynamic_20260712,2,256,61.71877203200711,12499.292753263688,4096,4096,4096,771441,1.8179628411900435
Qwen3-32B,openmath,dynamic,5,greedy,2,qwen3_32b_openmath_rollout_dynamic_20260712,3,256,53.537028844002634,12408.533202985516,4096,4096,4096,664316,1.8334754944584766
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_rollout_fixed_k3_20260712,0,256,73.15075287106447,13833.555503982807,4096,4096,4096,1011935,2.8134199302701894
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_rollout_fixed_k3_20260712,1,256,55.977994015207514,13271.876083987,2915,4096,4096,742933,2.9363938599716164
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_rollout_fixed_k3_20260712,2,256,63.65530117903836,12194.805234157357,4096,4096,4096,776264,2.8708227766167957
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_rollout_fixed_k3_20260712,3,256,55.363855711882934,11953.105351691791,4096,4096,4096,661770,2.939527486294615
Qwen3-32B,swe_verified,baseline,0,-,2,qwen3_32b_swe_verified_rollout_baseline_20260712,0,256,67.9134135409995,10271.078475224795,2400,4096,4096,697544,
Qwen3-32B,swe_verified,baseline,0,-,2,qwen3_32b_swe_verified_rollout_baseline_20260712,1,256,71.35843924399887,10149.451244631982,3632,4096,4096,724249,
Qwen3-32B,swe_verified,baseline,0,-,2,qwen3_32b_swe_verified_rollout_baseline_20260712,2,256,64.33467360800023,10172.585999078061,2410,4096,4096,654450,
Qwen3-32B,swe_verified,baseline,0,-,2,qwen3_32b_swe_verified_rollout_baseline_20260712,3,256,54.58232519599915,8352.447396898675,1165,4096,4096,455896,
Qwen3-32B,swe_verified,dynamic,5,greedy,2,qwen3_32b_swe_verified_rollout_dynamic_20260712,0,256,65.58980549592525,10813.524977506793,2617,4096,4096,709257,1.6394630611351588
Qwen3-32B,swe_verified,dynamic,5,greedy,2,qwen3_32b_swe_verified_rollout_dynamic_20260712,1,256,65.0055267540738,11210.24682650282,3772,4096,4096,728728,1.6421491645156907
Qwen3-32B,swe_verified,dynamic,5,greedy,2,qwen3_32b_swe_verified_rollout_dynamic_20260712,2,256,59.963179799029604,10929.473757003892,2529,4096,4096,655366,1.6222111365317462
Qwen3-32B,swe_verified,dynamic,5,greedy,2,qwen3_32b_swe_verified_rollout_dynamic_20260712,3,256,49.45223236596212,8613.908404531383,1149,4096,4096,425977,1.6757239221318834
