model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,1,69.44966392599963,131072
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,1,69.44966392599963,104429
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,2,71.17502251100086,131072
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,2,71.17502251100086,127047
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,3,70.22942635100117,131072
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,3,70.22942635100117,131072
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,0,8.591160400999797,21262
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,0,34.509401177001564,131072
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,1,38.780771441997786,131072
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,1,38.60152671000105,114878
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,2,39.85512520699922,131072
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,2,39.5256528769969,129565
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,3,41.52980282499993,131072
Nemotron3-Ultra-550B (NVFP4),openmath,dynamic,3,greedy,4,nemotron3_ultra_openmath_rollout_dynamic_20260713,3,42.121854041000915,131072
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,0,8.83027572300125,20267
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,0,34.52707032200124,130400
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,1,38.69267206999939,131072
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,1,38.24024156299856,107429
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,2,39.826063013999374,131072
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,2,39.424776239000494,129744
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,3,42.19880478199775,131072
Nemotron3-Ultra-550B (NVFP4),openmath,fixed_k3,3,greedy,4,nemotron3_ultra_openmath_rollout_fixed_k3_20260713,3,42.053067937999,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,0,70.95951016799881,124290
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,0,70.98616286600009,123670
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,1,69.09744994900029,92071
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,1,69.12919272799991,128943
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,2,74.41755795900099,122975
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,2,74.45261269700131,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,3,68.16149514099743,94006
Nemotron3-Ultra-550B (NVFP4),swe_verified,baseline,0,-,4,nemotron3_ultra_swe_verified_rollout_baseline_20260713,3,68.17483129599714,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,0,38.63938195300216,128299
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,0,38.283295961002295,127000
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,1,36.620184971001436,83627
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,1,36.630465191999974,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,2,71.2514030099992,114644
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,2,40.11472837100155,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,3,35.50191685099708,96281
Nemotron3-Ultra-550B (NVFP4),swe_verified,dynamic,3,greedy,4,nemotron3_ultra_swe_verified_rollout_dynamic_20260713,3,35.731416708000324,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,0,38.14616524000303,130986
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,0,38.11414060300012,116603
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,1,37.125085070998466,102608
